"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Orbit
1HOPSAT-TD (1st-generation High Optical Performance Satellite),1HOPSAT-TD,NR,USA,Hera Systems,Commercial,Earth Observation,0.0,566,576,0.0013312034078807242,36.9,96.08,22.0,2019-12-11 00:00:00,0.5,Hera Systems,USA,Satish Dhawan Space Centre,PSLV,2019-089H,44859,LEO - Non-Polar Inclined
Aalto-1 ,Aalto-1,Finland,Finland,Aalto University,Civil,Technology Development,0.0,497,517,0.0027085590465872156,97.45,94.7,4.5,2017-06-23 00:00:00,2.0,Aalto University,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775,LEO - Sun-Synchronous
AAt-4,AAt-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,0.0,442,687,0.032671022803040406,98.2,95.9,1.0,2016-04-25 00:00:00,,University of Aalborg,Denmark,Guiana Space Center,Soyuz-2.1a,2016-025E,41460,LEO - Sun-Synchronous
"ABS-2 (Koreasat-8, ST-3)",ABS-2,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,75.0,35778,35793,0.00019245326593192287,0.08,1436.03,6330.0,2014-02-06 00:00:00,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-006A,39508,GEO - Equatorial
ABS-2A,ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,-75.0,35700,35700,0.0,0,1436.1,1800.0,2016-06-15 00:00:00,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,GEO - Equatorial
ABS-3A ,ABS-3A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,-3.0,35788,35803,0.00019240389425481972,0.1,1436.0,2000.0,2015-03-02 00:00:00,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424,GEO - Equatorial
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",ABS-4,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,75.0,35780,35793,0.00016678855060749522,0.01,1436.1,4143.0,2004-03-13 00:00:00,12.0,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,GEO - Equatorial
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",ABS-6,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,159.0,35777,35794,0.00021811370138951258,0.01,1436.08,2894.0,1999-09-26 00:00:00,15.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,GEO - Equatorial
Adelis-Sampson 1,Adelis-Sampson 1,NR,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,0.0,538,561,0.0030793948319721514,97.5,95.5,9.0,2021-03-22 00:00:00,,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Israel,Baikonur Cosmodrome,Soyuz-2.1a,2021-022F,47937,LEO - Sun-Synchronous
Adelis-Sampson 2,Adelis-Sampson 2,NR,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,0.0,539,599,0.007991475759190196,97.5,95.5,9.0,2021-03-22 00:00:00,,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Israel,Baikonur Cosmodrome,Soyuz-2.1a,2021-022H,47939,LEO - Sun-Synchronous
Adelis-Sampson 3,Adelis-Sampson 3,NR,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,0.0,537,561,0.0032137118371719335,97.5,95.5,9.0,2021-03-22 00:00:00,,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Israel,Baikonur Cosmodrome,Soyuz-2.1a,2021-022M,47943,LEO - Sun-Synchronous
"Advanced Orion 10 (Mentor, NRO L-44, USA 311)",USA 311,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,0.0,35700,35800,0.0012841916013869269,0,1437.6,5400.0,2020-12-11 00:00:00,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2020-095A,47237,GEO - Equatorial
"Advanced Orion 4 (Mentor, NROL 6, USA 139)",USA 139,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,-26.0,35560,36013,0.005811939494245795,7.72,1436.14,5200.0,1998-05-09 00:00:00,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,GEO - Equatorial
"Advanced Orion 5 (Mentor, NROL 19, USA 171)",USA 171,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,68.0,35589,35984,0.005067805960766201,3.2,1436.1,5200.0,2003-09-09 00:00:00,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937,GEO - Equatorial
"Advanced Orion 6 (Mentor, NRO L-26, USA 202)",USA 202,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,44.0,35714,35937,0.0028582048422860513,2.89,1438.8,5400.0,2009-01-18 00:00:00,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490,GEO - Equatorial
"Advanced Orion 7 (Mentor, NRO L-32, USA 223)",USA 223,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,95.0,35500,35500,0.0,0,1436.0,5000.0,2010-11-21 00:00:00,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232,GEO - Equatorial
"Advanced Orion 8 (Mentor, NRO L-15, USA 237)",USA 237,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,60.0,35771,35805,0.00043619942011135913,0,1436.1,5000.0,2012-06-29 00:00:00,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528,GEO - Equatorial
"Advanced Orion 9 (Mentor, NRO L-37, USA 268)",USA 268,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,102.6,35613,35903,0.003723390596512852,7.51,1437.19,5000.0,2016-06-11 00:00:00,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584,GEO - Equatorial
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",USA 246,NR,USA,US Air Force,Military,Communications,152.1,35700,35803,0.0013226663927163459,4.2,1436.1,6169.0,2013-09-18 00:00:00,14.0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256,GEO - Equatorial
"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",USA 288,USA,USA,US Air Force,Military,Communications,150.2,35781,35790,0.00011547195955915371,0.05,1436.1,6169.0,2018-10-17 00:00:00,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2018-079A,43651,GEO - Equatorial
"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 29USA 2)",USA 292,USA,USA,US Air Force,Military,Communications,-94.39,35780,35810,0.0003848127244740893,6.4,1436.2,6169.0,2019-08-08 00:00:00,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2019-051A,44481,GEO - Equatorial
"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)",USA 298,USA,USA,US Air Force ,Military,Communications,0.0,35780,35780,0.0,0,1436.0,6169.0,2020-03-26 00:00:00,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2020-022B,45465,GEO - Equatorial
"AEHF-USA 2 (Advanced Extremely High Frequency satellite-USA 2, USA 235)",USA 235,USA,USA,US Air Force,Military,Communications,-120.0,35772,35801,0.00037206676673979703,2.34,1436.1,6169.0,2012-05-03 00:00:00,14.0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254,GEO - Equatorial
Aeneas,Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,0.0,480,790,0.04057591623036649,0.02,97.4,3.0,2012-09-13 00:00:00,,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,LEO - Equatorial
Aeolus,Aeolus,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,0.0,314,317,0.00042851021282673904,96.7,92.4,1367.0,2018-08-22 00:00:00,3.0,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Vega,2018-066A,43600,LEO
Aerocube 10A (Jimsat),Aerocube 10A,USA,USA,Aerospace Corporation,Commercial,Technology Development,0.0,469,481,0.001639344262295082,51.6,94.15,2.0,2019-08-09 00:00:00,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022D,44485,LEO - Non-Polar Inclined
Aerocube 10B (Dougsat),Aerocube 10B,USA,USA,Aerospace Corporation,Commercial,Technology Development,0.0,471,483,0.0016384489350081922,51.6,94.15,2.0,2019-08-09 00:00:00,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022C,44484,LEO - Non-Polar Inclined
Aerocube 11A (TOMSat Eagle Scout),Aerocube 11A,NR,USA,Aerospace Corporation,Commercial,Technology Development,0.0,495,511,0.0021691973969631237,85.03,94.6,4.0,2018-12-17 00:00:00,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104N,43861,LEO - Polar
Aerocube 11B (TOMSat R3),Aerocube 11B,NR,USA,Aerospace Corporation,Commercial,Technology Development,0.0,492,511,0.0025769700257697002,85.3,94.6,4.0,2018-12-17 00:00:00,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104A,43849,LEO - Polar
Aerocube 12A,Aerocube 12A,NR,USA,Aerospace Corporation,Commercial,Technology Development,0.0,481,487,0.0008176614881439084,51.6,94.2,4.0,2018-07-16 00:00:00,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046C,43556,LEO - Non-Polar Inclined
Aerocube 12B,Aerocube 12B,NR,USA,Aerospace Corporation,Commercial,Technology Development,0.0,481,487,0.0008176614881439084,51.6,94.2,4.0,2018-07-16 00:00:00,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046D,43557,LEO - Non-Polar Inclined
Aerocube 14A,Aerocube 14A,USA,USA,Aerospace Corporation,Military,Technology Development,0.0,459,474,0.0020539504313295907,51.6,93.9,,2020-01-31 00:00:00,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071D,45114,LEO - Non-Polar Inclined
Aerocube 14B,Aerocube 14B,USA,USA,Aerospace Corporation,Military,Technology Development,0.0,459,474,0.0020539504313295907,51.6,93.9,,2020-01-31 00:00:00,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071F,45116,LEO - Non-Polar Inclined
Aerocube 15A,Aerocube 15A,USA,USA,Aerospace Corporation,Military,Technology Development,0.0,458,474,0.0021911804984935633,51.6,93.9,,2020-01-31 00:00:00,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071G,45117,LEO - Non-Polar Inclined
Aerocube 5C,Aerocube 5C,NR,USA,Aerospace Corporation,Commercial,Technology Development,0.0,500,802,0.039363920750782065,64.78,97.74,1.5,2015-10-08 00:00:00,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965,LEO - Non-Polar Inclined
Aerocube 6A,Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Technology Development,0.0,614,700,0.011192087454450807,97.98,97.88,5.0,2014-06-19 00:00:00,3.0,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045,LEO - Sun-Synchronous
Aerocube 6B,Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Technology Development,0.0,614,700,0.011192087454450807,97.98,97.88,5.0,2014-06-19 00:00:00,3.0,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046,LEO - Sun-Synchronous
Aerocube 7A,Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Technology Development,0.0,500,802,0.039363920750782065,64.6,97.4,2.0,2015-10-08 00:00:00,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966,LEO - Non-Polar Inclined
Aerocube 8C,Aerocube 8C,NR,USA,Aerospace Corporation,Commercial,Technology Development,0.0,569,584,0.001993885418051309,97.9,96.2,5.0,2016-11-11 00:00:00,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067F,41853,LEO - Sun-Synchronous
Aerocube 8D,Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Technology Development,0.0,572,584,0.0015944724953494552,98,96.23,2.0,2016-11-11 00:00:00,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067E,41852,LEO - Sun-Synchronous
"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])",Eutelsat 48D,France,Multinational,EUTELSAT S.A.,Commercial,Communications,48.0,35764,35808,0.0005645223371224757,0.12,1436.08,3460.0,2008-12-20 00:00:00,15.0,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,GEO - Equatorial
AII-Bravo,AII-Bravo,Lithuania,Lithuania,Aurora Insight,Commercial,Communications,0.0,609,613,0.0005268703898840885,97.8,95.8,9.0,2021-04-29 00:00:00,,NanoAvionics,USA,Guiana Space Center,Vega W18,2021-034C,48270,LEO - Sun-Synchronous
AII-Charlie,AII-Charlie,NR (5/21),Lithuania,Aurora Insight,Commercial,Communications,0.0,522,535,0.0017503702706341726,97.5,95.2,9.0,2021-01-24 00:00:00,,NanoAvionics,USA,Cape Canaveral,Falcon 9,2021-006AD,47440,LEO - Sun-Synchronous
AIM (Aeronomy of Ice in Mesosphere),AIM,USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,0.0,544,552,0.0010715242432360033,97.9,96.2,215.0,2007-04-25 00:00:00,2.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,LEO - Sun-Synchronous
AISSat-1 (Automatic Identification System Satellite-1),AISSat-1,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,0.0,615,632,0.00223184980963634,98,97.2,6.0,2010-07-12 00:00:00,3.0,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV,2010-035C,36797,LEO - Sun-Synchronous
AISSat-2 (Automatic Identification System Satellite-2),AISSat-2,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,0.0,625,631,0.0007867820613690008,98.4,97.27,6.0,2014-07-08 00:00:00,3.0,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075,LEO - Sun-Synchronous
AISTechSat-2,AISTechSat-2,Spain,Spain,AISTech,Commercial,Earth Observation,0.0,574,592,0.0023885350318471337,97.8,96.4,2.6,2018-12-03 00:00:00,,GomSpace ApS,Denmark,Vandenberg AFB,Falcon 9,2018-099L,43768,LEO - Sun-Synchronous
AISTechSat-3,AISTechSat-3,Spain,Spain,AISTech,Commercial,Earth Observation,0.0,490,506,0.0021721422753190334,97.5,94.6,2.3,2019-04-01 00:00:00,,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2019-018AB,44103,LEO - Sun-Synchronous
Al Yah-3,Al Yah-3,Brazil,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,-20.0,35777,35796,0.0002437678816571084,0,1436.0,3795.0,2018-01-25 00:00:00,15.0,Orbital ATK,USA,Guiana Space Center,Ariane 5,2018-012A,43174,GEO - Equatorial
Alcomsat (Algerian Communications Satellite),Alcomsat,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Communications,-24.8,35744,35798,0.0006930896395933874,0.04,1436.1,5225.0,2017-12-10 00:00:00,15.0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2017-078A,43039,GEO - Equatorial
ALE-2 (Astro Live Experiences-2),ALE-2,NR,Japan,Astro Live Experiences,Commercial,Earth Science,0.0,397,414,0.002367358306642529,97.01,92.06,75.0,2019-12-06 00:00:00,,Astro Live Experiences,Japan,Rocket Lab Launch Complex 1,Electron,2019-084A,44824,LEO - Sun-Synchronous
Alfa Crux,Alfa Crux,NR (4/22),Brazil,University of Brasilia,Civil,Technology Development,0.0,499,511,0.0016260162601626016,97.4,95.0,1.0,2022-04-01 00:00:00,,University of Brasilia,Brazil,Cape Canaveral,Falcon 9,2022-033D,52160,LEO - Sun-Synchronous
Al-Farabi-2,Al-Farabi-2,NR,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,0.0,573,589,0.002124269782262347,97.7,96.2,4.0,2018-12-03 00:00:00,,Al-Farabi Kazakh National University,Kazakhstan,Vandenberg AFB,Falcon 9,2018-099AZ,43805,LEO - Sun-Synchronous
ALiCE  (AFIT LEO iMESA CNT E),ALiCE,NR,USA,US Air Force Institute of Technology,Military,Technology Development,0.0,443,886,0.057539940251980774,120.3,98.0,5.0,2013-12-06 00:00:00,,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467,LEO - Polar
Alsat-1B,Alsat-1B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,0.0,661,704,0.005559146735617324,98.2,98.4,103.0,2016-09-26 00:00:00,5.0,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059C,41785,LEO - Sun-Synchronous
Alsat-1N,AlSat-1N,Algeria,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,0.0,661,698,0.0047871652218915775,98.2,98.3,10.0,2016-09-26 00:00:00,,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059G,41789,LEO - Sun-Synchronous
Alsat-2A (Algeria Satellite 2A),Alsat-2A,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,0.0,672,674,0.0002592016588906169,98.1,98.2,130.0,2010-07-12 00:00:00,5.0,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2010-035D,36798,LEO - Sun-Synchronous
Alsat-2B,Alsat-2B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,0.0,646,660,0.0018238665971860343,98.2,97.7,117.0,2016-09-26 00:00:00,5.0,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2016-059D,41786,LEO - Sun-Synchronous
Amazonas-2,Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,-61.0,35767,35805,0.00048754201842395625,0.03,1436.08,5465.0,2009-10-01 00:00:00,15.0,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942,GEO - Equatorial
Amazonas-3,Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,-61.0,35781,35791,0.00012830053116419902,0.03,1436.05,6265.0,2013-02-07 00:00:00,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078,GEO - Equatorial
Amazonas-4A,Amazonas-4A,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,-61.0,35784,35795,0.00014111791042861359,0.08,1436.24,2938.0,2014-03-22 00:00:00,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2014-011A,39616,GEO - Equatorial
Amazonas-5,Amazonas-5,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,-61.0,35785,35789,5.1318895617366314e-05,0.04,1436.11,5900.0,2017-09-12 00:00:00,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2017-053A,42934,GEO - Equatorial
Amazonia-1 (SSR-1),Amazonia-1,NR (5/21),Brazil,National Institute for Space Research (INPE),Government,Earth Observation,0.0,761,764,0.00037998733375554147,98.5,99.9,637.0,2021-02-28 00:00:00,4.0,National Institute for Space Research (INPE),Brazil,Satish Dhawan Space Centre,PSLV,2021-015A,47699,LEO - Sun-Synchronous
"AMC-1 (Americom 1, GE-1)",AMC-1,USA,USA,SES S.A.,Commercial,Communications,-129.15,35772,35800,0.0003592414872597573,0.03,1436.1,2783.0,1996-09-08 00:00:00,15.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,GEO - Equatorial
"AMC-11 (Americom-11, GE 11)",AMC-11,USA,USA,SES S.A.,Commercial,Communications,-130.93,35774,35797,0.00029509500776228175,0.04,1436.07,2340.0,2004-05-19 00:00:00,15.0,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,GEO - Equatorial
AMC-15 (Americom-15),AMC-15,USA,USA,SES S.A.,Commercial,Communications,-105.04,35777,35795,0.00023094095609555823,0.04,1436.08,4200.0,2004-10-14 00:00:00,15.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,2004-041A,28446,GEO - Equatorial
AMC-18 (Americom 18),AMC-18,USA,USA,SES S.A.,Commercial,Communications,-104.97,35773,35800,0.0003464069897232593,0.06,1436.1,2081.0,2006-12-08 00:00:00,15.0,Lockheed Martin Missiles & Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644,GEO - Equatorial
AMC-21 (Americom 21),AMC-21,United Kingdom,USA,SES S.A.,Commercial,Communications,-124.86,35778,35793,0.00019245326593192287,3,1436.1,2500.0,2008-08-14 00:00:00,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,GEO - Equatorial
"AMC-4 (Americom-4, GE-4)",AMC-4,USA,USA,SES S.A./Gogo,Commercial,Communications,-100.99,35781,35791,0.00012830053116419902,0.01,1436.1,3909.0,1999-11-13 00:00:00,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954,GEO - Equatorial
"AMC-6 (Americom-6, GE-6)",AMC-6,USA,USA,SES S.A.,Commercial,Communications,-71.98,35778,35795,0.00021810810464057068,0.05,1436.12,3901.0,2000-10-22 00:00:00,15.0,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580,GEO - Equatorial
"AMC-8 (Americom-8, GE-8, Aurora 3)",AMC-8,USA,USA,SES S.A.,Commercial,Communications,-139.0,35773,35798,0.00032075544321987144,0.03,1436.07,2015.0,2000-12-19 00:00:00,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639,GEO - Equatorial
AmGU-1 (AmurSat-1),AmGU-1,Russia,Russia,Moscow State University,Civil,Space Science,0.0,514,547,0.0044408558740411785,97.5,95.2,4.0,2019-07-05 00:00:00,,Moscow State University,Russia,Vostochny Cosmodrome,Soyuz-2.1b,2019-038J,44394,LEO - Sun-Synchronous
Amos 17,Amos 17,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,17.0,35777,35793,0.00020528611752630227,0,1436.04,6500.0,2019-08-06 00:00:00,20.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2019-050A,44479,GEO - Equatorial
Amos 3,Amos 3,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,-3.99,35783,35789,7.698031869851941e-05,0.04,1436.1,,2008-04-28 00:00:00,12.0,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794,GEO - Equatorial
Amos 4,Amos 4,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,65.0,35633,35796,0.002095142611087546,0.01,1432.0,,2013-08-31 00:00:00,12.0,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,2013-045A,39237,GEO - Equatorial
Amsat-Oscar 7 (AO-7),Amsat-Oscar 7,USA,USA,AMSAT-NA,Civil,Communications,0.0,1440,1459,0.002049843564570072,101.4,114.9,29.0,1974-11-15 00:00:00,,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530,LEO - Polar
"ANASIS-II (Army, Navy Air Force Satellite Information System 2, KMilSatCom 1)",ANASIS-II,NR (12/20),South Korea,Agency for Defense Development,Military,Communications,115.9,35781,35792,0.00014112877359095748,0.01,1436.1,,2020-07-20 00:00:00,15.0,Airbus Defense and Space,France/UK/Germany/Spain,Cape Canaveral,Falcon 9,2020-048A,45920,GEO - Equatorial
ANDESITE Mule (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors),ANDESITE Mule,USA,USA,ANDESITE - Boston University,Civil,Space Science/Technology Demonstration,0.0,582,600,0.0023834745762711866,97.7,96.5,9.0,2020-06-13 00:00:00,,Boston University,USA,Rocket Lab Launch Complex 1,Electron,2020-037D,45726,LEO - Sun-Synchronous
ANGELS (Argos Neo on a Generic Economical and Light Satellite),ANGELS,France,ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,0.0,509,524,0.002026205592327435,97.4,94.9,18.0,2019-12-18 00:00:00,,CNES ,ESA,Guiana Space Center,Soyuz,2019-092D,44876,LEO - Sun-Synchronous
Angosat-2,Angosat-2,NR (12/22),Angola,AngoSat,Government,Communications,23.0,35782,35791,0.00011546899657441977,0.02,1436.1,2150.0,2022-10-12 00:00:00,,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton,2022-131A,54033,GEO
Anik F1 ,Anik F1,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,-107.27,35778,35793,0.00019245326593192287,0.02,1436.08,4710.0,2000-11-21 00:00:00,15.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,GEO - Equatorial
Anik F1R,Anik F1R,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,-107.3,35777,35795,0.00023094095609555823,0.02,1436.1,4500.0,2005-09-09 00:00:00,15.0,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2005-036A,28868,GEO - Equatorial
Anik F2 ,Anik F2,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,-111.07,35781,35790,0.00011547195955915371,0.01,1436.08,5910.0,2004-07-18 00:00:00,15.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378,GEO - Equatorial
Anik F3,Anik F3,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,-118.69,35778,35794,0.00020528084986271843,0.01,1436.1,4715.0,2007-04-09 00:00:00,15.0,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2007-009A,31102,GEO - Equatorial
Anik G1,Anik G1,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,-107.3,35773,35799,0.00033358138102691743,0.01,1436.08,4905.0,2013-04-15 00:00:00,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-014A,39127,GEO - Equatorial
AprizeSat 1 (LatinSat-C),AprizeSat 1,USA,Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Technology Development,0.0,696,764,0.008684546615581098,98,99.4,12.0,2004-06-29 00:00:00,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr,2004-025G,28372,LEO - Sun-Synchronous
AprizeSat 10 (exactView-13),AprizeSat 10,NR,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,0.0,613,733,0.015552099533437015,97.9,98.0,12.0,2014-06-19 00:00:00,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033K,40019,LEO - Sun-Synchronous
