"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Orbit
Starlink-1785 ,Starlink-1785 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,561,0.001738200294156973,53,95.6,260.0,2020-11-24 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088C,47124,LEO - Non-Polar Inclined
Starlink-1788 ,Starlink-1788 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,561,0.001738200294156973,53,95.6,260.0,2020-10-18 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073V,46689,LEO - Non-Polar Inclined
Starlink-1789 ,Starlink-1789 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,561,0.001738200294156973,53,95.6,260.0,2020-10-18 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073W,46690,LEO - Non-Polar Inclined
Starlink-1790 ,Starlink-1790 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,561,0.001738200294156973,53,95.6,260.0,2020-10-18 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073X,46691,LEO - Non-Polar Inclined
Starlink-1791 ,Starlink-1791 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,561,0.001738200294156973,53,95.6,260.0,2020-10-18 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073Y,46692,LEO - Non-Polar Inclined
Starlink-1792 ,Starlink-1792 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,561,0.001738200294156973,53,95.6,260.0,2020-10-18 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073Z,46693,LEO - Non-Polar Inclined
Starlink-1793 ,Starlink-1793 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,561,0.001738200294156973,53,95.6,260.0,2020-10-18 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AA,46694,LEO - Non-Polar Inclined
Starlink-1794 ,Starlink-1794 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,561,0.001738200294156973,53,95.6,260.0,2020-10-18 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AB,46695,LEO - Non-Polar Inclined
Starlink-1795 ,Starlink-1795 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,561,0.001738200294156973,53,95.6,260.0,2020-10-18 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AC,46696,LEO - Non-Polar Inclined
Starlink-1797 ,Starlink-1797 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,561,0.001738200294156973,53,95.6,260.0,2020-10-18 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AE,46698,LEO - Non-Polar Inclined
Starlink-1798 ,Starlink-1798 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,561,0.001738200294156973,53,95.6,260.0,2020-10-24 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-074AS,46779,LEO - Non-Polar Inclined
Starlink-1799 ,Starlink-1799 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,561,0.001738200294156973,53,95.6,260.0,2020-10-18 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AF,46699,LEO - Non-Polar Inclined
Starlink-1800 ,Starlink-1800 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,561,0.001738200294156973,53,95.6,260.0,2020-10-18 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AG,46700,LEO - Non-Polar Inclined
Starlink-1801 ,Starlink-1801 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,561,0.001738200294156973,53,95.6,260.0,2020-10-18 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AH,46701,LEO - Non-Polar Inclined
Starlink-1802 ,Starlink-1802 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,561,0.001738200294156973,53,95.6,260.0,2020-10-18 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AJ,46702,LEO - Non-Polar Inclined
Starlink-1803 ,Starlink-1803 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,561,0.001738200294156973,53,95.6,260.0,2020-10-18 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AK,46703,LEO - Non-Polar Inclined
Starlink-1804 ,Starlink-1804 ,USA,USA,SpaceX,Commercial,Communications,0.0,548,561,0.001738200294156973,53,95.6,260.0,2020-10-18 00:00:00,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073AL,46704,LEO - Non-Polar Inclined
