NORAD Number,COSPAR Number,Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Expected Lifetime (yrs.)
44859,2019-089H,LEO - Non-Polar Inclined,0.0,566,576,0.0013312034078807242,36.9,96.08,22.0,0.5
42775,2017-036L,LEO - Sun-Synchronous,0.0,497,517,0.0027085590465872156,97.45,94.7,4.5,2.0
41460,2016-025E,LEO - Sun-Synchronous,0.0,442,687,0.032671022803040406,98.2,95.9,1.0,
39508,2014-006A,GEO - Equatorial,75.0,35778,35793,0.00019245326593192287,0.08,1436.03,6330.0,15.0
41588,2016-038A,GEO - Equatorial,-75.0,35700,35700,0.0,0,1436.1,1800.0,15.0
40424,2015-010A,GEO - Equatorial,-3.0,35788,35803,0.00019240389425481972,0.1,1436.0,2000.0,15.0
28184,2004-007A,GEO - Equatorial,75.0,35780,35793,0.00016678855060749522,0.01,1436.1,4143.0,12.0
25924,1999-053A,GEO - Equatorial,159.0,35777,35794,0.00021811370138951258,0.01,1436.08,2894.0,15.0
47937,2021-022F,LEO - Sun-Synchronous,0.0,538,561,0.0030793948319721514,97.5,95.5,9.0,
47939,2021-022H,LEO - Sun-Synchronous,0.0,539,599,0.007991475759190196,97.5,95.5,9.0,
47943,2021-022M,LEO - Sun-Synchronous,0.0,537,561,0.0032137118371719335,97.5,95.5,9.0,
47237,2020-095A,GEO - Equatorial,0.0,35700,35800,0.0012841916013869269,0,1437.6,5400.0,
25336,1998-029A,GEO - Equatorial,-26.0,35560,36013,0.005811939494245795,7.72,1436.14,5200.0,
27937,2003-041A,GEO - Equatorial,68.0,35589,35984,0.005067805960766201,3.2,1436.1,5200.0,
33490,2009-001A,GEO - Equatorial,44.0,35714,35937,0.0028582048422860513,2.89,1438.8,5400.0,
37232,2010-063A,GEO - Equatorial,95.0,35500,35500,0.0,0,1436.0,5000.0,
38528,2012-034A,GEO - Equatorial,60.0,35771,35805,0.00043619942011135913,0,1436.1,5000.0,
41584,2016-036A,GEO - Equatorial,102.6,35613,35903,0.003723390596512852,7.51,1437.19,5000.0,
39256,2013-050A,GEO - Equatorial,152.1,35700,35803,0.0013226663927163459,4.2,1436.1,6169.0,14.0
43651,2018-079A,GEO - Equatorial,150.2,35781,35790,0.00011547195955915371,0.05,1436.1,6169.0,
44481,2019-051A,GEO - Equatorial,-94.39,35780,35810,0.0003848127244740893,6.4,1436.2,6169.0,
45465,2020-022B,GEO - Equatorial,0.0,35780,35780,0.0,0,1436.0,6169.0,
38254,2012-019A,GEO - Equatorial,-120.0,35772,35801,0.00037206676673979703,2.34,1436.1,6169.0,14.0
38760,2012-048C,LEO - Equatorial,0.0,480,790,0.04057591623036649,0.02,97.4,3.0,
43600,2018-066A,LEO,0.0,314,317,0.00042851021282673904,96.7,92.4,1367.0,3.0
44485,2019-022D,LEO - Non-Polar Inclined,0.0,469,481,0.001639344262295082,51.6,94.15,2.0,
44484,2019-022C,LEO - Non-Polar Inclined,0.0,471,483,0.0016384489350081922,51.6,94.15,2.0,
43861,2018-104N,LEO - Polar,0.0,495,511,0.0021691973969631237,85.03,94.6,4.0,
43849,2018-104A,LEO - Polar,0.0,492,511,0.0025769700257697002,85.3,94.6,4.0,
43556,2018-046C,LEO - Non-Polar Inclined,0.0,481,487,0.0008176614881439084,51.6,94.2,4.0,
43557,2018-046D,LEO - Non-Polar Inclined,0.0,481,487,0.0008176614881439084,51.6,94.2,4.0,
45114,2019-071D,LEO - Non-Polar Inclined,0.0,459,474,0.0020539504313295907,51.6,93.9,,
45116,2019-071F,LEO - Non-Polar Inclined,0.0,459,474,0.0020539504313295907,51.6,93.9,,
45117,2019-071G,LEO - Non-Polar Inclined,0.0,458,474,0.0021911804984935633,51.6,93.9,,
40965,2015-058B,LEO - Non-Polar Inclined,0.0,500,802,0.039363920750782065,64.78,97.74,1.5,
40045,2014-033AM,LEO - Sun-Synchronous,0.0,614,700,0.011192087454450807,97.98,97.88,5.0,3.0
40046,2014-033AN,LEO - Sun-Synchronous,0.0,614,700,0.011192087454450807,97.98,97.88,5.0,3.0
40966,2015-058C,LEO - Non-Polar Inclined,0.0,500,802,0.039363920750782065,64.6,97.4,2.0,
41853,2016-067F,LEO - Sun-Synchronous,0.0,569,584,0.001993885418051309,97.9,96.2,5.0,
41852,2016-067E,LEO - Sun-Synchronous,0.0,572,584,0.0015944724953494552,98,96.23,2.0,
33460,2008-065B,GEO - Equatorial,48.0,35764,35808,0.0005645223371224757,0.12,1436.08,3460.0,15.0
48270,2021-034C,LEO - Sun-Synchronous,0.0,609,613,0.0005268703898840885,97.8,95.8,9.0,
47440,2021-006AD,LEO - Sun-Synchronous,0.0,522,535,0.0017503702706341726,97.5,95.2,9.0,
31304,2007-015A,LEO - Sun-Synchronous,0.0,544,552,0.0010715242432360033,97.9,96.2,215.0,2.0
36797,2010-035C,LEO - Sun-Synchronous,0.0,615,632,0.00223184980963634,98,97.2,6.0,3.0
40075,2014-037G,LEO - Sun-Synchronous,0.0,625,631,0.0007867820613690008,98.4,97.27,6.0,3.0
43768,2018-099L,LEO - Sun-Synchronous,0.0,574,592,0.0023885350318471337,97.8,96.4,2.6,
44103,2019-018AB,LEO - Sun-Synchronous,0.0,490,506,0.0021721422753190334,97.5,94.6,2.3,
43174,2018-012A,GEO - Equatorial,-20.0,35777,35796,0.0002437678816571084,0,1436.0,3795.0,15.0
43039,2017-078A,GEO - Equatorial,-24.8,35744,35798,0.0006930896395933874,0.04,1436.1,5225.0,15.0
44824,2019-084A,LEO - Sun-Synchronous,0.0,397,414,0.002367358306642529,97.01,92.06,75.0,
52160,2022-033D,LEO - Sun-Synchronous,0.0,499,511,0.0016260162601626016,97.4,95.0,1.0,
43805,2018-099AZ,LEO - Sun-Synchronous,0.0,573,589,0.002124269782262347,97.7,96.2,4.0,
39467,2013-072F,LEO - Polar,0.0,443,886,0.057539940251980774,120.3,98.0,5.0,
41785,2016-059C,LEO - Sun-Synchronous,0.0,661,704,0.005559146735617324,98.2,98.4,103.0,5.0
41789,2016-059G,LEO - Sun-Synchronous,0.0,661,698,0.0047871652218915775,98.2,98.3,10.0,
36798,2010-035D,LEO - Sun-Synchronous,0.0,672,674,0.0002592016588906169,98.1,98.2,130.0,5.0
41786,2016-059D,LEO - Sun-Synchronous,0.0,646,660,0.0018238665971860343,98.2,97.7,117.0,5.0
35942,2009-054A,GEO - Equatorial,-61.0,35767,35805,0.00048754201842395625,0.03,1436.08,5465.0,15.0
39078,2013-006A,GEO - Equatorial,-61.0,35781,35791,0.00012830053116419902,0.03,1436.05,6265.0,15.0
39616,2014-011A,GEO - Equatorial,-61.0,35784,35795,0.00014111791042861359,0.08,1436.24,2938.0,15.0
42934,2017-053A,GEO - Equatorial,-61.0,35785,35789,5.1318895617366314e-05,0.04,1436.11,5900.0,15.0
47699,2021-015A,LEO - Sun-Synchronous,0.0,761,764,0.00037998733375554147,98.5,99.9,637.0,4.0
24315,1996-054A,GEO - Equatorial,-129.15,35772,35800,0.0003592414872597573,0.03,1436.1,2783.0,15.0
28252,2004-017A,GEO - Equatorial,-130.93,35774,35797,0.00029509500776228175,0.04,1436.07,2340.0,15.0
28446,2004-041A,GEO - Equatorial,-105.04,35777,35795,0.00023094095609555823,0.04,1436.08,4200.0,15.0
29644,2006-054B,GEO - Equatorial,-104.97,35773,35800,0.0003464069897232593,0.06,1436.1,2081.0,15.0
33275,2008-038B,GEO - Equatorial,-124.86,35778,35793,0.00019245326593192287,3,1436.1,2500.0,15.0
25954,1999-060A,GEO - Equatorial,-100.99,35781,35791,0.00012830053116419902,0.01,1436.1,3909.0,15.0
26580,2000-067A,GEO - Equatorial,-71.98,35778,35795,0.00021810810464057068,0.05,1436.12,3901.0,15.0
26639,2000-081B,GEO - Equatorial,-139.0,35773,35798,0.00032075544321987144,0.03,1436.07,2015.0,15.0
44394,2019-038J,LEO - Sun-Synchronous,0.0,514,547,0.0044408558740411785,97.5,95.2,4.0,
44479,2019-050A,GEO - Equatorial,17.0,35777,35793,0.00020528611752630227,0,1436.04,6500.0,20.0
32794,2008-022A,GEO - Equatorial,-3.99,35783,35789,7.698031869851941e-05,0.04,1436.1,,12.0
39237,2013-045A,GEO - Equatorial,65.0,35633,35796,0.002095142611087546,0.01,1432.0,,12.0
7530,1974-089B,LEO - Polar,0.0,1440,1459,0.002049843564570072,101.4,114.9,29.0,
45920,2020-048A,GEO - Equatorial,115.9,35781,35792,0.00014112877359095748,0.01,1436.1,,15.0
45726,2020-037D,LEO - Sun-Synchronous,0.0,582,600,0.0023834745762711866,97.7,96.5,9.0,
44876,2019-092D,LEO - Sun-Synchronous,0.0,509,524,0.002026205592327435,97.4,94.9,18.0,
54033,2022-131A,GEO,23.0,35782,35791,0.00011546899657441977,0.02,1436.1,2150.0,
26624,2000-076A,GEO - Equatorial,-107.27,35778,35793,0.00019245326593192287,0.02,1436.08,4710.0,15.0
28868,2005-036A,GEO - Equatorial,-107.3,35777,35795,0.00023094095609555823,0.02,1436.1,4500.0,15.0
28378,2004-027A,GEO - Equatorial,-111.07,35781,35790,0.00011547195955915371,0.01,1436.08,5910.0,15.0
31102,2007-009A,GEO - Equatorial,-118.69,35778,35794,0.00020528084986271843,0.01,1436.1,4715.0,15.0
39127,2013-014A,GEO - Equatorial,-107.3,35773,35799,0.00033358138102691743,0.01,1436.08,4905.0,15.0
28372,2004-025G,LEO - Sun-Synchronous,0.0,696,764,0.008684546615581098,98,99.4,12.0,
40019,2014-033K,LEO - Sun-Synchronous,0.0,613,733,0.015552099533437015,97.9,98.0,12.0,
28366,2004-025A,LEO - Sun-Synchronous,0.0,694,850,0.019711902956785442,98.2,100.3,12.0,
35686,2009-041F,LEO - Sun-Synchronous,0.0,559,662,0.013568699776050587,98.18,97.0,12.0,
35684,2009-041D,LEO - Sun-Synchronous,0.0,604,674,0.009152719665271966,98.1,97.5,12.0,
37792,2011-044E,LEO - Sun-Synchronous,0.0,610,694,0.0109460516028147,98.2,97.8,12.0,
39416,2013-066A,LEO - Sun-Synchronous,0.0,594,653,0.007745831692267297,97.8,97.17,12.0,
39425,2013-066K,LEO - Sun-Synchronous,0.0,594,669,0.009825756583256911,97.8,97.99,12.0,
40018,2014-033J,LEO - Sun-Synchronous,0.0,613,715,0.013250194855806703,97.9,98.0,12.0,
43450,2018-041A,GEO - Equatorial,134.0,35783,35790,8.980921955788204e-05,0.05,1436.1,,15.0
45863,2020-045A,GEO - Equatorial,134.0,35785,35885,0.0012813941568426447,0.01,1438.5,5550.0,15.0
38107,2012-013A,GEO - Equatorial,76.5,35864,35874,0.0001280278588620884,0.03,1440.31,5054.0,15.0
40982,2015-059A,GEO - Equatorial,142.0,35782,35788,7.698229407236336e-05,0.12,1436.01,5200.0,15.0
37810,2011-049B,GEO - Equatorial,19.99,35766,35805,0.0005003784914229994,0.06,1436.06,4630.0,15.0
44186,2019-021A,GEO - Equatorial,30.5,35774,35811,0.00047463280097492143,0.01,1436.0,6465.0,15.0
47484,2021-006BZ,LEO - Sun-Synchronous,0.0,526,535,0.0012111425111021397,97.5,95.2,1.0,
47615,2021-006EG,LEO - Sun-Synchronous,0.0,522,536,0.001884760366182014,97.5,95.2,1.0,
47616,2021-006EH,LEO - Sun-Synchronous,0.0,522,536,0.001884760366182014,97.5,95.2,1.0,
52161,2022-033E,LEO - Sun-Synchronous,0.0,499,510,0.0014907168993088494,97.4,95.0,10.0,
49403,2021-102J,LEO - Sun-Synchronous,0.0,547,572,0.0033382294031245826,97.6,95.0,1.0,
47719,2021-016A,HEO,0.0,1025,39754,0.8214172092727311,63.3,717.8,2200.0,7.0
43130,2018-004V,LEO - Sun-Synchronous,0.0,493,505,0.0016286644951140066,97.5,94.5,10.0,
40272,2014-062B,GEO - Equatorial,-71.8,35778,35795,0.00021810810464057068,0.01,1436.07,3000.0,15.0
40941,2015-054B,GEO - Equatorial,-81.0,35786,35801,0.0001924137665636184,0.01,1436.06,2977.0,15.0
48953,2021-059CC,LEO - Sun-Synchronous,0.0,512,535,0.0031009842254280705,97.5,95.1,20.0,
47441,2021-006AE,LEO - Sun-Synchronous,0.0,522,536,0.001884760366182014,97.5,95.2,5.0,
35696,2009-042A,GEO - Equatorial,100.5,35778,35795,0.00021810810464057068,0,1436.11,3760.0,15.0
40141,2014-052A,GEO - Equatorial,120.0,35783,35793,0.00012829394709157623,0.07,1436.17,3700.0,15.0
37933,2011-069A,GEO - Equatorial,105.5,35782,35793,0.00014112515235101673,0.02,1436.17,3813.0,15.0
40107,2014-046A,GEO - Equatorial,105.5,35781,35793,0.00015395668685209895,0.07,1436.1,4500.0,15.0
42942,2017-057A,GEO - Equatorial,122.0,35783,35790,8.980921955788204e-05,0.02,1436.1,6140.0,15.0
26107,2000-016A,GEO - Equatorial,104.97,35773,35801,0.0003592322693215642,0.02,1436.15,2775.0,15.0
40298,2014-070A,LEO - Sun-Synchronous,0.0,506,507,0.00013544629554381688,97.48,94.75,500.0,3.0
43152,2018-007A,LEO - Sun-Synchronous,0.0,493,505,0.0016286644951140066,97.3,94.5,570.0,3.0
49397,2021-102C,LEO - Sun-Synchronous,0.0,556,573,0.0022669689291905585,97.6,94.5,4.0,
25071,1997-076A,GEO - Equatorial,19.24,35780,35791,0.00014113239501674344,0.04,1436.08,3379.0,15.0
29055,2006-012A,GEO - Equatorial,19.16,35766,35807,0.0005260254288390234,0.08,1436.1,4332.0,15.0
31306,2007-016A,GEO - Equatorial,19.3,35772,35798,0.00033358994098024123,0.05,1436.03,4500.0,15.0
33436,2008-057A,GEO - Equatorial,19.2,35804,35852,0.0006151795555327711,0.14,1438.2,5345.0,15.0
37775,2011-041A,GEO - Equatorial,28.2,35715,35780,0.0008347781416554292,0.12,1434.1,5350.0,15.0
25462,1998-050A,GEO - Equatorial,28.16,35776,35797,0.00026942765867364615,0.08,1436.12,3635.0,15.0
26853,2001-025A,GEO - Equatorial,28.21,35768,35804,0.00046188191219111646,0.07,1436.12,3643.0,15.0
26638,2000-081A,GEO - Equatorial,28.14,35770,35802,0.00041056169972543687,0.07,1436.1,1420.0,15.0
39285,2013-056A,GEO - Equatorial,28.2,35781,35793,0.00015395668685209895,0.11,1436.12,6052.0,15.0
38778,2012-051A,GEO - Equatorial,28.2,35777,35795,0.00023094095609555823,0.06,1436.07,6000.0,15.0
40364,2014-089A,GEO - Equatorial,28.2,35785,35789,5.1318895617366314e-05,0.09,1436.11,6000.0,15.0
27400,2002-015B,GEO - Equatorial,23.48,35770,35804,0.0004362106127476137,0.06,1436.07,1500.0,10.0
36581,2010-021A,GEO - Equatorial,23.5,35768,35806,0.00048752950836498,0.08,1436.11,5471.0,15.0
39617,2014-011B,GEO - Equatorial,31.55,35787,35793,7.697241821680565e-05,0.05,1436.26,5724.0,15.0
43127,2018-004S,LEO - Sun-Synchronous,0.0,494,505,0.0014927398561541594,97.5,94.5,,
47430,2021-006T,LEO - Sun-Synchronous,0.0,521,534,0.001750841750841751,97.5,94.6,4.0,
47488,2021-006CD,LEO - Sun-Synchronous,0.0,523,535,0.0016155088852988692,97.5,94.6,4.0,
47487,2021-006CC,LEO - Sun-Synchronous,0.0,522,536,0.001884760366182014,97.5,94.6,4.0,
47519,2021-006DK,LEO - Sun-Synchronous,0.0,524,537,0.0017494280715919794,97.5,94.5,4.0,
47517,2021-006DH,LEO - Sun-Synchronous,0.0,526,535,0.0012111425111021397,97.5,94.5,4.0,
48954,2021-059CD,LEO - Sun-Synchronous,0.0,512,535,0.0031009842254280705,97.5,95.1,4.0,
48961,2021-059CL,LEO - Sun-Synchronous,0.0,511,536,0.003370635027639207,97.5,95.0,4.0,
48955,2021-059CE,LEO - Sun-Synchronous,0.0,511,536,0.003370635027639207,97.5,95.0,4.0,
48952,2021-059CB,LEO - Sun-Synchronous,0.0,513,536,0.0031001482679606416,97.5,95.1,4.0,
48960,2021-059CK,LEO - Sun-Synchronous,0.0,513,535,0.0029657589646805067,97.5,95.0,4.0,
40930,2015-052A,LEO - Equatorial,0.0,632,649,0.002221931773624363,5.99,97.54,230.0,5.0
44333,2019-034A,GEO - Equatorial,-101.0,35653,36757,0.014013709063214013,0.02,1436.07,6350.0,15.0
46275,2020-061D,LEO - Sun-Synchronous,0.0,516,524,0.0010796221322537112,97.4,94.5,138.0,
39509,2014-006B,GEO - Equatorial,25.0,35784,35788,5.132021246567961e-05,0.05,1436.06,3080.0,15.0
41168,2015-077C,LEO - Equatorial,0.0,532,550,0.0024154589371980675,14.98,95.46,6.0,
39079,2013-006B,GEO - Equatorial,46.0,35778,35794,0.00020528084986271843,0.04,1436.08,3250.0,15.0
43632,2018-074A,GEO - Equatorial,45.0,35750,35750,0.0,0.02,1436.1,3500.0,15.0
29526,2006-051A,GEO - Equatorial,26.02,35780,35791,0.00014113239501674344,0.07,1436.06,3304.0,15.0
36592,2010-025A,GEO - Equatorial,26.0,35834,35883,0.000627505218538297,0.06,1439.76,5420.0,15.0
36745,2010-032B,GEO - Equatorial,30.5,35605,35623,0.00023196474135931338,0.03,1427.27,4940.0,15.0
33154,2008-034B,GEO - Equatorial,26.08,35768,35805,0.0004747058748059479,0.05,1436.1,3400.0,15.0
41029,2015-065B,GEO - Equatorial,26.0,35768,35817,0.0006285677634532744,0.1,1436.0,5500.0,15.0
43463,2018-044A,GEO - Equatorial,119.1,35778,35793,0.00019245326593192287,0,1436.06,3500.0,15.0
49814,2021-117C,LEO - Sun-Synchronous,0.0,472,502,0.004084967320261438,97.4,95.0,20.0,
40420,2015-009A,LEO - Sun-Synchronous,0.0,570,586,0.002125963327132607,97.7,96.1,4000.0,5.0
41394,2016-020A,LEO - Sun-Synchronous,0.0,549,594,0.005989617995474511,97.62,96.1,4000.0,5.0
52713,2022-054A,LEO - Sun-Synchronous,0.0,337,556,0.030152829409334985,97.7,94.6,3700.0,5.0
44879,2019-093A,LEO - Sun-Synchronous,0.0,613,634,0.0027569909413154787,97.9,97.1,40.0,3.0
52175,2022-033U,LEO - Sun-Synchronous,0.0,497,509,0.0016268980477223427,97.4,97.0,1.0,
48083,2021-022AM,LEO - Sun-Synchronous,0.0,535,558,0.0030818705614364195,97.6,95.5,1.0,
47957,2021-022AB,LEO - Sun-Synchronous,0.0,535,562,0.0036159100040176776,97.6,95.5,1.0,
48084,2021-022AN,LEO - Sun-Synchronous,0.0,535,562,0.0036159100040176776,97.6,95.5,1.0,
48085,2021-022AP,LEO - Sun-Synchronous,0.0,535,556,0.0028146361077603537,97.6,95.5,1.0,
44412,2019-038AC,LEO - Sun-Synchronous,0.0,514,546,0.004306864064602961,97.5,95.2,1.0,
38250,2012-018A,MEO - Non-Polar Inclined,0.0,21460,21595,0.002731411229135053,55.16,773.19,2200.0,8.0
38251,2012-018B,MEO - Non-Polar Inclined,0.0,21452,21603,0.003055134041476985,55.1,773.21,2200.0,8.0
38775,2012-050B,MEO - Non-Polar Inclined,0.0,21477,21574,0.0019627283948119223,55,773.1,3800.0,8.0
38953,2012-059A,GEO - Equatorial,80.0,35775,35799,0.0003079133737041979,1.84,1436.11,3800.0,8.0
41434,2016-021A,GEO - Equatorial,100.3,35676,35890,0.002745842742763293,54.97,1435.92,4200.0,8.0
41586,2016-037A,GEO - Equatorial,144.0,35776,35794,0.00023094688221709007,1.84,1436.1,3800.0,8.0
40549,2015-019A,GEO - Equatorial,107.48,35796,36781,0.012476724891382827,54.9,1461.81,4200.0,8.0
40938,2015-053A,GEO - Equatorial,89.5,35606,35953,0.004452771112166203,55,1435.73,4200.0,8.0
43001,2017-069A,MEO,0.0,21506,21549,0.0008700050581689428,55,773.2,800.0,8.0
44542,2019-061A,MEO,0.0,21509,21561,0.001051779935275081,55,773.2,800.0,8.0
44543,2019-061B,MEO,0.0,21515,21554,0.0007888509071785432,55,773.2,800.0,8.0
43002,2017-069B,MEO,0.0,21541,22549,0.019976218787158145,55,773.2,800.0,8.0
40748,2015-037A,MEO - Non-Polar Inclined,0.0,21520,21549,0.0005865814437994296,55,773.2,800.0,8.0
40749,2015-037B,MEO - Non-Polar Inclined,0.0,21521,21550,0.0005865577152565684,55,773.3,800.0,8.0
43107,2018-003A,MEO,0.0,21514,21541,0.0005462822458270106,55,773.2,800.0,8.0
43108,2018-003B,MEO,0.0,21516,21539,0.0004653515427415276,55,773.2,800.0,8.0
43207,2018-018A,MEO,0.0,21508,21547,0.0007890743550834598,55,773.2,800.0,8.0
43208,2018-018B,MEO,0.0,21504,21551,0.0009509357612544259,55,773.2,800.0,8.0
43246,2018-029A,MEO,0.0,21521,21533,0.00024279702168986727,55,773.2,800.0,8.0
43245,2018-029B,MEO,0.0,21542,22191,0.012953316168692493,55,773.2,800.0,8.0
43539,2018-057A,GEO - Equatorial,110.0,35691,35876,0.0023737121007993637,55,1436.1,800.0,8.0
43581,2018-062A,MEO,0.0,21509,21545,0.0007283910650696018,55,773.2,800.0,8.0
43582,2018-062B,MEO,0.0,21516,21538,0.00044512787309809,55,773.2,800.0,8.0
43602,2018-067A,MEO,0.0,21514,21540,0.0005260602136613791,55,773.2,800.0,8.0
43603,2018-067B,MEO,0.0,21518,21537,0.0003844208396560445,55,773.2,800.0,8.0
43622,2018-072A,MEO,0.0,21533,22193,0.013174704567230917,55,787.1,800.0,8.0
43623,2018-072B,MEO,0.0,21513,21541,0.0005665263839430237,55,773.1,800.0,8.0
43647,2018-078A,MEO,0.0,21541,22195,0.013052329062387739,55,787.4,800.0,8.0
43648,2018-078B,MEO,0.0,21537,22195,0.013133208255159476,55,787.4,800.0,8.0
43683,2018-085A,GEO - Equatorial,144.5,35776,35795,0.0002437741368471023,3,1436.06,800.0,8.0
43706,2018-093A,MEO,0.0,21523,22194,0.013396689759817917,55,787.1,800.0,8.0
43707,2018-093B,MEO,0.0,21531,22194,0.013234853777822138,55,787.1,800.0,8.0
44204,2019-023A,GEO - Equatorial,110.03,35711,35847,0.0017452006980802793,55,1435.7,800.0,8.0
44231,2019-027A,GEO - Equatorial,144.48,35773,35799,0.00033358138102691743,1.81,1436.06,800.0,8.0
44337,2019-035A,GEO - Equatorial,105.99,35739,35838,0.0012700937816721618,55.05,1436.2,800.0,8.0
44709,2019-073A,GEO - Equatorial,106.72,35681,35896,0.0027582844753486343,58.2,1436.2,4200.0,8.0
44793,2019-078A,MEO,0.0,21542,22194,0.013012413682992057,54.9,787.4,800.0,8.0
44794,2019-078B,MEO,0.0,21537,22192,0.013074113255753608,54.9,787.2,800.0,8.0
44864,2019-090A,MEO,0.0,21369,21561,0.003894523326572008,55.02,770.6,800.0,8.0
44865,2019-090B,MEO,0.0,21530,22108,0.011558150695888657,55.02,785.35,800.0,8.0
45807,2020-040A,GEO - Equatorial,111.0,35764,35809,0.0005773449828720988,3.09,1436.1,800.0,8.0
45344,2020-017A,GEO - Equatorial,80.0,35776,35797,0.00026942765867364615,3.08,1436.08,2200.0,8.0
37210,2010-057A,GEO - Equatorial,160.0,35764,35809,0.0005773449828720988,1.43,1436.1,6000.0,8.0
38091,2012-008A,GEO - Equatorial,59.0,35776,35799,0.0002950798640066714,1.87,1436.15,2300.0,8.0
36828,2010-036A,GEO - Equatorial,118.0,35670,35893,0.0028614322559121297,55.09,1435.82,4200.0,8.0
37256,2010-068A,GEO - Equatorial,118.0,35717,35817,0.0012836311357568289,55.23,1436.12,4200.0,8.0
37384,2011-013A,GEO - Equatorial,118.0,35693,37872,0.027259648464377305,96.4,1435.93,4200.0,
37763,2011-038A,GEO - Equatorial,0.0,35708,35879,0.0021935169388252497,55.2,1435.1,4200.0,8.0
37948,2011-073A,GEO - Equatorial,104.21,35708,35864,0.0020014882861615047,55.16,1436.08,4200.0,8.0
48840,2021-050A,LEO - Sun-Synchronous,0.0,487,502,0.0020383204239706482,97.5,94.7,,
28890,2005-043A,LEO - Sun-Synchronous,0.0,681,703,0.002837245292752128,97.9,98.6,166.0,7.0
41238,2016-001A,GEO - Equatorial,51.5,35779,35792,0.00016679283047433315,0.46,1436.06,5223.0,15.0
26959,2001-049C,LEO - Sun-Synchronous,0.0,500,521,0.0028412934650250306,97.9,94.8,92.0,1.5
41604,2016-040F,LEO - Sun-Synchronous,0.0,500,517,0.0023013401922295927,97.5,94.7,130.0,
40968,2015-058E,LEO - Non-Polar Inclined,0.0,497,801,0.0396452790818988,64.78,97.7,1.0,
38708,2012-039B,LEO - Sun-Synchronous,0.0,503,507,0.0005420054200542005,97.5,94.7,400.0,5.0
43730,2018-096M,LEO - Sun-Synchronous,0.0,484,500,0.0021756867011150393,97.5,94.7,56.0,
49469,2021-106A,LEO - Non-Polar Inclined,0.0,428,439,0.0015199668370871908,42,93.0,55.0,
49470,2021-106B,LEO - Non-Polar Inclined,0.0,426,438,0.0016588332872546309,42,93.0,55.0,
49950,2021-120B,LEO - Non-Polar Inclined,0.0,430,439,0.0012432656444260257,42,93.0,55.0,
49949,2021-120A,LEO - Non-Polar Inclined,0.0,433,440,0.0009664503658704957,42,93.0,55.0,
52196,2022-034B,LEO - Non-Polar Inclined,0.0,428,440,0.0016579165515335729,53,95.0,55.0,
43812,2018-099BG,LEO - Sun-Synchronous,0.0,577,591,0.0018572565667285751,97.7,96.3,55.0,
52197,2022-034C,LEO - Non-Polar Inclined,0.0,426,439,0.001796821008984105,53,95.0,55.0,
44367,2019-037C,LEO - Non-Polar Inclined,0.0,450,461,0.0015107814860596072,45.1,93.7,56.0,
44499,2019-054E,LEO - Non-Polar Inclined,0.0,538,549,0.0014751240445219256,45.01,95.5,56.0,
46088,2020-055BP,LEO - Non-Polar Inclined,0.0,400,410,0.001392757660167131,45.01,95.5,56.0,
46089,2020-055BQ,LEO - Non-Polar Inclined,0.0,400,410,0.001392757660167131,45.01,95.5,56.0,
47971,2021-023G,LEO - Non-Polar Inclined,0.0,448,460,0.0016488046166529267,45,93.7,56.0,
41787,2016-059E,LEO - Sun-Synchronous,0.0,661,701,0.005173305742369374,98.2,98.3,44.0,3.0
42907,2017-046A,GEO - Equatorial,45.0,35781,35803,0.00028221771814146803,0,1436.0,3000.0,15.0
43432,2018-037A,GEO - Equatorial,128.0,35779,35794,0.00019244832762403295,0,1436.09,3000.0,15.0
43867,2018-107A,GEO - Equatorial,70.0,35780,35792,0.00015396063739703882,0,1436.08,3000.0,15.0
44457,2019-048A,GEO - Equatorial,55.0,35599,35829,0.0029563741998508957,0,1436.0,3000.0,15.0
44105,2019-018AD,LEO - Sun-Synchronous,0.0,435,519,0.011469142545057346,97.5,94.1,10.0,
53808,2022-111AL,LEO - Non-Polar Inclined,0.0,502,518,0.002165087956698241,53,95.4,1500.0,
26469,2000-046A,GEO - Equatorial,-84.03,35772,35800,0.0003592414872597573,0.07,1436.09,2495.0,12.0
48876,2021-058F,LEO - Non-Polar Inclined,0.0,495,521,0.003520173300839426,60.7,94.5,10.0,
43813,2018-099BH,LEO - Sun-Synchronous,0.0,574,591,0.0022561380225613803,97.7,96.3,4.0,
41591,2016-039A,GEO - Equatorial,150.5,35702,35876,0.0022322574023708112,0.07,1436.2,3540.0,15.0
40020,2014-033L,LEO - Sun-Synchronous,0.0,613,739,0.016317016317016316,97.97,98.27,10.0,
40119,2014-049B,LEO - Sun-Synchronous,0.0,610,633,0.0030211480362537764,98.02,97.1,10.0,2.0
44495,2018-054A,LEO - Non-Polar Inclined,0.0,536,550,0.0018776824034334764,45.01,95.5,8.0,
49066,2021-073A,LEO - Sun-Synchronous,0.0,520,563,0.005769488796457802,97.6,95.5,8.0,
52174,2022-033T,LEO - Sun-Synchronous,0.0,497,509,0.0016268980477223427,97.4,95.4,10.0,
32019,2007-036B,GEO - Equatorial,109.91,35778,35794,0.00020528084986271843,0.03,1436.1,1980.0,13.0
