NORAD Number,COSPAR Number,Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Expected Lifetime (yrs.)
49750,2021-115AC ,LEO - Non-Polar Inclined,0.0,443,446,0.00041328006612481057,53.2,93.5,260.0,4.0
49726,2021-115C ,LEO - Non-Polar Inclined,0.0,538,542,0.0005369127516778523,53.2,95.4,260.0,4.0
49734,2021-115L ,LEO - Non-Polar Inclined,0.0,443,446,0.00041328006612481057,53.2,93.5,260.0,4.0
49743,2021-115V ,LEO - Non-Polar Inclined,0.0,443,446,0.00041328006612481057,53.2,93.5,260.0,4.0
49728,2021-115E ,LEO - Non-Polar Inclined,0.0,538,542,0.0005369127516778523,53.2,95.4,260.0,4.0
49745,2021-115X ,LEO - Non-Polar Inclined,0.0,443,446,0.00041328006612481057,53.2,93.5,260.0,4.0
49727,2021-115D ,LEO - Non-Polar Inclined,0.0,538,542,0.0005369127516778523,53.2,95.4,260.0,4.0
51116,2022-005N ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
49741,2021-115T ,LEO - Non-Polar Inclined,0.0,443,446,0.00041328006612481057,53.2,93.5,260.0,4.0
50170,2021-125Q ,LEO - Non-Polar Inclined,0.0,349,351,0.0002828854314002829,53.2,91.5,260.0,4.0
49732,2021-115J ,LEO - Non-Polar Inclined,0.0,538,542,0.0005369127516778523,53.2,95.4,260.0,4.0
49747,2021-115Z ,LEO - Non-Polar Inclined,0.0,443,446,0.00041328006612481057,53.2,93.5,260.0,4.0
49748,2021-115AA ,LEO - Non-Polar Inclined,0.0,443,446,0.00041328006612481057,53.2,93.5,260.0,4.0
49730,2021-115G ,LEO - Non-Polar Inclined,0.0,538,542,0.0005369127516778523,53.2,95.4,260.0,4.0
49749,2021-115AB ,LEO - Non-Polar Inclined,0.0,443,446,0.00041328006612481057,53.2,93.5,260.0,4.0
49729,2021-115F ,LEO - Non-Polar Inclined,0.0,538,542,0.0005369127516778523,53.2,95.4,260.0,4.0
49733,2021-115K ,LEO - Non-Polar Inclined,0.0,538,542,0.0005369127516778523,53.2,95.4,260.0,4.0
51136,2022-005AJ ,LEO - Non-Polar Inclined,0.0,348,351,0.0004243881737162258,53.2,91.5,260.0,4.0
50204,2021-125BA ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50201,2021-125AX ,LEO - Non-Polar Inclined,0.0,349,351,0.0002828854314002829,53.2,91.5,260.0,4.0
50202,2021-125AY ,LEO - Non-Polar Inclined,0.0,341,343,0.0002835270768358378,53.2,91.5,260.0,4.0
50203,2021-125AZ ,LEO - Non-Polar Inclined,0.0,349,351,0.0002828854314002829,53.2,91.5,260.0,4.0
50206,2021-125BC ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50192,2021-125AN ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50205,2021-125BB ,LEO - Non-Polar Inclined,0.0,299,300,0.00014349261013057828,53.2,91.5,260.0,4.0
50193,2021-125AP ,LEO - Non-Polar Inclined,0.0,349,351,0.0002828854314002829,53.2,91.5,260.0,4.0
50207,2021-125BD ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50196,2021-125AS ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50198,2021-125AU ,LEO - Non-Polar Inclined,0.0,349,351,0.0002828854314002829,53.2,91.5,260.0,4.0
50180,2021-125AA ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50195,2021-125AR ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50197,2021-125AT ,LEO - Non-Polar Inclined,0.0,349,351,0.0002828854314002829,53.2,91.5,260.0,4.0
50190,2021-125AL ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50194,2021-125AQ ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50199,2021-125AV ,LEO - Non-Polar Inclined,0.0,349,351,0.0002828854314002829,53.2,91.5,260.0,4.0
50167,2021-125M ,LEO - Non-Polar Inclined,0.0,351,353,0.0002827254735651682,53.2,91.5,260.0,4.0
50187,2021-125AH ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
50191,2021-125AM ,LEO - Non-Polar Inclined,0.0,354,356,0.0002824858757062147,53.2,91.5,260.0,4.0
50186,2021-125AG ,LEO - Non-Polar Inclined,0.0,352,353,0.0001413427561837456,53.2,91.5,260.0,4.0
50188,2021-125AJ ,LEO - Non-Polar Inclined,0.0,349,350,0.00014146272457207527,53.2,91.5,260.0,4.0
